Categories	Observed_scale_h2	Observed_scale_h2_SE	Proportion_of_SNPs	Proportion_of_h2g	Enrichment	Coefficients	Coefficient_SE
BivFlnk	4.5741e-03	0.0058	0.001	7.6107e-02	7.5014e+01	2.8989e-07	3.6869e-07
BivFlnk.extend.500	-1.2543e-02	0.0067	0.0023	-2.0870e-01	-9.0660e+01	-3.5035e-07	1.8610e-07
BLUEPRINT_FE_META_TISSUE_DNAMETH_MaxCPP	2.1422e-02	0.0091	0.016	3.5643e-01	2.2215e+01	8.5848e-08	3.6512e-08
BLUEPRINT_FE_META_TISSUE_H3K27ac_MaxCPP	-2.3332e-05	0.0068	0.0095	-3.8821e-04	-4.1032e-02	-1.5856e-10	4.5889e-08
BLUEPRINT_FE_META_TISSUE_H3K4me1_MaxCPP	3.6671e-03	0.0062	0.0085	6.1015e-02	7.2082e+00	2.7855e-08	4.6942e-08
Coding_UCSC	3.8707e-03	0.0072	0.0023	6.4403e-02	2.8608e+01	1.1055e-07	2.0454e-07
Coding_UCSC.extend.500	1.8574e-02	0.011	0.0072	3.0905e-01	4.3119e+01	1.6663e-07	9.8836e-08
Conserved_LindbladToh.extend.500	2.2706e-02	0.0284	0.0309	3.7780e-01	1.2244e+01	4.7317e-08	5.9191e-08
Conserved_Mammal_phastCons46way.extend.500	-1.1107e-01	0.0536	0.0314	-1.8481e+00	-5.8873e+01	-2.2751e-07	1.0978e-07
Conserved_Primate_phastCons46way	6.3838e-04	0.0063	0.0028	1.0622e-02	3.8529e+00	1.4889e-08	1.4636e-07
Conserved_Primate_phastCons46way.extend.500	-1.5013e-02	0.0196	0.018	-2.4980e-01	-1.3869e+01	-5.3594e-08	7.0032e-08
Conserved_Vertebrate_phastCons46way.extend.500	6.7139e-02	0.0564	0.0358	1.1171e+00	3.1231e+01	1.2069e-07	1.0134e-07
CTCF_Hoffman	1.9219e-02	0.0076	0.0019	3.1978e-01	1.7054e+02	6.5903e-07	2.6062e-07
CTCF_Hoffman.extend.500	-9.4763e-03	0.0087	0.0053	-1.5767e-01	-2.9741e+01	-1.1493e-07	1.0591e-07
DGF_ENCODE	-9.7735e-03	0.0202	0.0127	-1.6262e-01	-1.2787e+01	-4.9415e-08	1.0217e-07
DGF_ENCODE.extend.500	1.1514e-01	0.0486	0.0427	1.9158e+00	4.4907e+01	1.7354e-07	7.3264e-08
DHS_peaks_Trynka	-1.1854e-02	0.023	0.0115	-1.9723e-01	-1.7182e+01	-6.6398e-08	1.2882e-07
DHS_Trynka	1.8583e-02	0.0344	0.017	3.0919e-01	1.8179e+01	7.0250e-08	1.3004e-07
DHS_Trynka.extend.500	-1.7487e-02	0.0447	0.0413	-2.9096e-01	-7.0381e+00	-2.7198e-08	6.9457e-08
Enhancer_Andersson	5.5588e-03	0.0033	0.0004	9.2490e-02	2.4451e+02	9.4489e-07	5.5479e-07
Enhancer_Andersson.extend.500	-9.4085e-03	0.0053	0.0015	-1.5654e-01	-1.0114e+02	-3.9085e-07	2.1837e-07
Enhancer_Hoffman	1.1981e-02	0.0109	0.0037	1.9935e-01	5.3704e+01	2.0754e-07	1.8967e-07
Enhancer_Hoffman.extend.500	-3.0268e-02	0.0174	0.0072	-5.0361e-01	-6.9849e+01	-2.6993e-07	1.5511e-07
FetalDHS_Trynka	-2.9143e-04	0.018	0.0089	-4.8489e-03	-5.4672e-01	-2.1128e-09	1.3040e-07
FetalDHS_Trynka.extend.500	-2.8509e-02	0.0303	0.0249	-4.7435e-01	-1.9063e+01	-7.3667e-08	7.8410e-08
GTEx_FE_META_TISSUE_GE_MaxCPP	8.3629e-03	0.0049	0.0047	1.3915e-01	2.9876e+01	1.1545e-07	6.7241e-08
H3K27ac_Hnisz	2.6691e-02	0.0794	0.031	4.4409e-01	1.4336e+01	5.5402e-08	1.6478e-07
H3K27ac_Hnisz.extend.500	-6.6772e-02	0.0829	0.0331	-1.1110e+00	-3.3612e+01	-1.2989e-07	1.6134e-07
H3K27ac_PGC2	1.0328e-01	0.0449	0.0221	1.7185e+00	7.7588e+01	2.9983e-07	1.3023e-07
H3K27ac_PGC2.extend.500	-5.6154e-02	0.048	0.0268	-9.3433e-01	-3.4899e+01	-1.3487e-07	1.1539e-07
H3K4me1_peaks_Trynka	2.3819e-02	0.0216	0.0158	3.9631e-01	2.5132e+01	9.7122e-08	8.7963e-08
H3K4me1_Trynka	-1.2751e-02	0.0465	0.037	-2.1215e-01	-5.7411e+00	-2.2186e-08	8.0957e-08
H3K4me1_Trynka.extend.500	-3.6938e-02	0.0533	0.0482	-6.1460e-01	-1.2739e+01	-4.9227e-08	7.1062e-08
H3K4me3_peaks_Trynka	-4.1910e-03	0.0083	0.0036	-6.9733e-02	-1.9302e+01	-7.4592e-08	1.4706e-07
H3K4me3_Trynka	-2.1175e-02	0.0234	0.0113	-3.5232e-01	-3.1310e+01	-1.2099e-07	1.3346e-07
H3K4me3_Trynka.extend.500	2.4407e-02	0.0304	0.0197	4.0609e-01	2.0591e+01	7.9571e-08	9.9022e-08
H3K9ac_peaks_Trynka	8.3178e-03	0.012	0.0035	1.3840e-01	3.9579e+01	1.5295e-07	2.2028e-07
H3K9ac_Trynka	1.9679e-02	0.0216	0.0112	3.2743e-01	2.9364e+01	1.1347e-07	1.2479e-07
H3K9ac_Trynka.extend.500	-7.1856e-02	0.0305	0.0188	-1.1956e+00	-6.3685e+01	-2.4610e-07	1.0440e-07
Human_Enhancer_Villar	-4.0119e-02	0.0206	0.0029	-6.6753e-01	-2.2803e+02	-8.8120e-07	4.5231e-07
Human_Enhancer_Villar.extend.500	5.5361e-02	0.0267	0.0036	9.2113e-01	2.5515e+02	9.8602e-07	4.7532e-07
Human_Enhancer_Villar_Species_Enhancer_Count	2.1941e-03	0.0058	0.0018	3.6507e-02	2.0298e+01	7.8440e-08	2.0753e-07
Human_Promoter_Villar	1.9032e-02	0.0192	0.0013	3.1666e-01	2.4823e+02	9.5925e-07	9.6713e-07
Human_Promoter_Villar_ExAC	-8.1839e-03	0.0071	0.0002	-1.3617e-01	-6.0611e+02	-2.3423e-06	2.0357e-06
Human_Promoter_Villar_ExAC.extend.500	1.0230e-02	0.0079	0.0003	1.7021e-01	6.3389e+02	2.4496e-06	1.8830e-06
Human_Promoter_Villar.extend.500	-1.3360e-02	0.0153	0.0015	-2.2229e-01	-1.4556e+02	-5.6251e-07	6.4523e-07
Intron_UCSC	5.4803e-02	0.0874	0.0294	9.1185e-01	3.1034e+01	1.1993e-07	1.9116e-07
Intron_UCSC.extend.500	-5.7019e-02	0.0924	0.0307	-9.4872e-01	-3.0940e+01	-1.1957e-07	1.9371e-07
PromoterFlanking_Hoffman	-3.3060e-03	0.0034	0.0007	-5.5007e-02	-7.9037e+01	-3.0543e-07	3.1748e-07
PromoterFlanking_Hoffman.extend.500	-3.7376e-03	0.0069	0.0025	-6.2189e-02	-2.4632e+01	-9.5187e-08	1.7555e-07
Promoter_UCSC	-2.9118e-02	0.0223	0.0039	-4.8448e-01	-1.2412e+02	-4.7967e-07	3.6667e-07
Promoter_UCSC.extend.500	3.6691e-02	0.0223	0.0047	6.1048e-01	1.3042e+02	5.0401e-07	3.0643e-07
Repressed_Hoffman	3.5821e-02	0.0295	0.0295	5.9601e-01	2.0229e+01	7.8174e-08	6.4403e-08
Repressed_Hoffman.extend.500	-5.8047e-02	0.0388	0.0471	-9.6582e-01	-2.0500e+01	-7.9221e-08	5.2924e-08
SuperEnhancer_Hnisz	-9.0388e-02	0.1956	0.0134	-1.5039e+00	-1.1190e+02	-4.3244e-07	9.3592e-07
SuperEnhancer_Hnisz.extend.500	9.4316e-02	0.1968	0.0136	1.5693e+00	1.1504e+02	4.4455e-07	9.2737e-07
TFBS_ENCODE	-8.4956e-03	0.0186	0.0116	-1.4136e-01	-1.2209e+01	-4.7179e-08	1.0306e-07
TFBS_ENCODE.extend.500	1.6515e-02	0.0278	0.0273	2.7479e-01	1.0059e+01	3.8874e-08	6.5524e-08
Transcr_Hoffman	-1.1872e-02	0.0246	0.0247	-1.9753e-01	-7.9976e+00	-3.0906e-08	6.4140e-08
Transcr_Hoffman.extend.500	3.4075e-02	0.0421	0.0525	5.6696e-01	1.0805e+01	4.1757e-08	5.1593e-08
TSS_Hoffman	-7.3888e-03	0.01	0.0014	-1.2294e-01	-8.6236e+01	-3.3325e-07	4.5073e-07
TSS_Hoffman.extend.500	2.1834e-02	0.0143	0.0026	3.6328e-01	1.3813e+02	5.3378e-07	3.4951e-07
UTR_3_UCSC	-6.5185e-03	0.0061	0.0015	-1.0846e-01	-7.2098e+01	-2.7861e-07	2.5915e-07
UTR_3_UCSC.extend.500	2.3026e-03	0.007	0.003	3.8313e-02	1.2923e+01	4.9941e-08	1.5217e-07
UTR_5_UCSC	-5.3803e-03	0.0041	0.0006	-8.9521e-02	-1.4280e+02	-5.5183e-07	4.2095e-07
UTR_5_UCSC.extend.500	-3.6546e-03	0.0064	0.0026	-6.0808e-02	-2.3351e+01	-9.0238e-08	1.5749e-07
Vahedi_Tcell_SE_500bp	-3.6495e-03	0.0358	0.0018	-6.0723e-02	-3.4678e+01	-1.3401e-07	1.3150e-06
Vahedi_Tcell_SE	-1.6723e-03	0.0353	0.0017	-2.7825e-02	-1.6194e+01	-6.2581e-08	1.3222e-06
Vahedi_Tcell_TE_500bp	-6.2732e-03	0.0135	0.002	-1.0438e-01	-5.1510e+01	-1.9905e-07	4.2842e-07
Vahedi_Tcell_TE	2.4681e-03	0.012	0.0017	4.1066e-02	2.3907e+01	9.2386e-08	4.5031e-07
WeakEnhancer_Hoffman	4.8091e-04	0.0065	0.002	8.0016e-03	4.0674e+00	1.5718e-08	2.1376e-07
WeakEnhancer_Hoffman.extend.500	1.7985e-02	0.0124	0.0073	2.9925e-01	4.1156e+01	1.5904e-07	1.1000e-07
